target,rank,split,train_channel_rmse,holdout_channel_rmse,train_profile_rmse,holdout_profile_rmse
positive_delta_g,0,0,0.4211571726718004,0.42812673440014115,0.5422312578825762,0.5310106489946994
positive_delta_g,1,0,0.21842091961341745,0.22875083666861382,0.39144586122118485,0.38299951440214236
positive_delta_g,2,0,0.12942632547913957,0.13200899400740723,0.24623897113393348,0.24236200782418843
positive_delta_g,3,0,0.08297978399367496,0.08997042239085075,0.16194750694545382,0.16155166230965914
positive_delta_g,4,0,0.06536720932424518,0.07177770383363469,0.11277039342399638,0.11820960091841191
positive_delta_g,5,0,0.053331070587157,0.0599961549250312,0.0967198810247716,0.10350215634013454
positive_delta_g,6,0,0.049253875010835536,0.05583308963772242,0.08601157778007822,0.09409469958662077
positive_delta_g,0,1,0.42042494309368195,0.43061369319051784,0.542652332293094,0.5332634943678335
positive_delta_g,1,1,0.22001647743503247,0.2193969776266776,0.3937432575899947,0.3730688527961031
positive_delta_g,2,1,0.13003464712148277,0.12879605910400493,0.24790091427335972,0.2309986510542827
positive_delta_g,3,1,0.08442279465613281,0.08127726124357088,0.16496512040829217,0.15236046141035398
positive_delta_g,4,1,0.06597151350684653,0.06789547989620157,0.11464855352810659,0.11354235429775127
positive_delta_g,5,1,0.05398344770990464,0.05681583567245032,0.0979630988944781,0.09958096064910892
positive_delta_g,6,1,0.048934217216236225,0.05197599039844542,0.08576116878675343,0.09036696865494469
positive_delta_g,0,2,0.41960626889119856,0.43625656153673403,0.5408928212007617,0.5429636254852223
positive_delta_g,1,2,0.2186655275441751,0.22749534808830002,0.39189403138684603,0.376420831637135
positive_delta_g,2,2,0.1282257375988711,0.1395680968287209,0.2454856024719167,0.24634875346301352
positive_delta_g,3,2,0.08256033337401546,0.09137238335805707,0.16163924311173905,0.1643240659990163
positive_delta_g,4,2,0.06433660736511153,0.07755496920805519,0.11173802223573782,0.12743738206112507
positive_delta_g,5,2,0.052691542051263855,0.06226939317723041,0.09572813952988819,0.11017020312720212
positive_delta_g,6,2,0.047972084188468746,0.05790550798995437,0.08551548754624118,0.0996454115746576
positive_delta_g,0,3,0.42064055222705815,0.4292589857780026,0.5392283840620142,0.5454957881299926
positive_delta_g,1,3,0.2189984640752464,0.22588578465051234,0.39003626164524796,0.3927414210283206
positive_delta_g,2,3,0.1277235505490991,0.14189332256628856,0.24422473103856956,0.2581183832806987
positive_delta_g,3,3,0.08291721393856183,0.08978306696264703,0.16238998731308,0.1665254199658732
positive_delta_g,4,3,0.06555923106315405,0.07305472474426401,0.11479474582537337,0.12390261773537475
positive_delta_g,5,3,0.05333011940710273,0.05885703408337784,0.09772605861086357,0.10417214601082035
positive_delta_g,6,3,0.04850238160189626,0.05533432717526302,0.08677540351687826,0.09805193483597278
positive_delta_g,0,4,0.4209526348937841,0.42955324921412663,0.5365267628509612,0.5613302492042622
positive_delta_g,1,4,0.21889329473378755,0.22607748894467394,0.38554364777667405,0.41243972131961953
positive_delta_g,2,4,0.128372032101619,0.13789156594899205,0.24307942969033328,0.27089588747974525
positive_delta_g,3,4,0.08312538027918441,0.08882888495771439,0.16234832157045156,0.18058860198682045
positive_delta_g,4,4,0.06665911852468684,0.07262755842235956,0.12161299809383673,0.13272235002912322
positive_delta_g,5,4,0.053166015686426475,0.060390934984360066,0.09677594026184727,0.1069938258442377
positive_delta_g,6,4,0.04984833638054626,0.057252299827670175,0.09436653284914173,0.1056618850781111
signed_nfw_residual_of_residual,0,0,0.43781642975526497,0.491973939218095,0.9412558434175076,0.953227685003691
signed_nfw_residual_of_residual,1,0,0.15779304496451435,0.15568741570942793,0.4186947932136261,0.413453672356393
signed_nfw_residual_of_residual,2,0,0.10489993664432315,0.1046403347318455,0.2955031573258513,0.27679854060337844
signed_nfw_residual_of_residual,3,0,0.07509238296324058,0.07910136331987119,0.2102938434339197,0.21474917470833813
signed_nfw_residual_of_residual,4,0,0.06664540068380694,0.06961673709623288,0.19029893604623707,0.19474197429151743
signed_nfw_residual_of_residual,5,0,0.060421393648779735,0.06318753354487623,0.17174625206331398,0.1772301703046141
signed_nfw_residual_of_residual,6,0,0.055044395182917386,0.05951454302744984,0.15691648472450107,0.16545002881352439
signed_nfw_residual_of_residual,0,1,0.4184696817911766,0.5814990836629167,0.8937291158835262,1.1853002017464644
signed_nfw_residual_of_residual,1,1,0.15676051876838712,0.1721273746676873,0.4151634947230134,0.43808852079219657
signed_nfw_residual_of_residual,2,1,0.10485147765597692,0.10403697234531445,0.2958578174856276,0.274183066213228
signed_nfw_residual_of_residual,3,1,0.07546548935060415,0.07586675893820156,0.21132502248373117,0.20080807371614692
signed_nfw_residual_of_residual,4,1,0.06765276237734591,0.0659383122996745,0.19272038688522364,0.1811397008105666
signed_nfw_residual_of_residual,5,1,0.05979745371304703,0.06090004058307599,0.16709669365599958,0.15661599512137422
signed_nfw_residual_of_residual,6,1,0.055479821775807306,0.05346003610810116,0.15524964757215795,0.15175852629417755
signed_nfw_residual_of_residual,0,2,0.41347790379320776,0.6062537151684456,0.8866196782553533,1.2202300943501776
signed_nfw_residual_of_residual,1,2,0.15539995943985893,0.19400263823541092,0.4154585159610816,0.45335284776021395
signed_nfw_residual_of_residual,2,2,0.10382765805430179,0.11187951284439569,0.29355524962547797,0.2928038333680649
signed_nfw_residual_of_residual,3,2,0.07416177554912386,0.0861422802185755,0.20664682883971508,0.23260493190722908
signed_nfw_residual_of_residual,4,2,0.06646930521000441,0.07542411131524307,0.18730955582311742,0.20756900783782242
signed_nfw_residual_of_residual,5,2,0.06120579043892335,0.0703471109102906,0.17138171092095839,0.1936638626507453
signed_nfw_residual_of_residual,6,2,0.0503781712592616,0.06040280300104574,0.13187022441786944,0.15288498665208944
signed_nfw_residual_of_residual,0,3,0.4499186554170408,0.4236528672604032,0.9499763709015949,0.8975785428111435
signed_nfw_residual_of_residual,1,3,0.1557702512906862,0.17224293183996936,0.41128534578840586,0.43311447826994265
signed_nfw_residual_of_residual,2,3,0.10388281236229607,0.10889434275053923,0.29306942229170213,0.2916150289397134
signed_nfw_residual_of_residual,3,3,0.09749420267007533,0.10186147808233928,0.28346623064574045,0.28416022080971154
signed_nfw_residual_of_residual,4,3,0.0663180749594269,0.07210340925823834,0.18600530795865775,0.20410313900233815
signed_nfw_residual_of_residual,5,3,0.061436649611688224,0.06635984882757057,0.17542339228316509,0.17996811177575708
signed_nfw_residual_of_residual,6,3,0.05708016787371622,0.06293709135308792,0.16123796501265816,0.17852618512393334
signed_nfw_residual_of_residual,0,4,0.4257804472493897,0.5505910073041225,0.9078041734618686,1.120773701199997
signed_nfw_residual_of_residual,1,4,0.1574806057008023,0.16256535878262124,0.414274941315415,0.4460988103107965
signed_nfw_residual_of_residual,2,4,0.10395354990741959,0.1105718730784409,0.28681961186561944,0.3247758763645689
signed_nfw_residual_of_residual,3,4,0.07405995432175279,0.08588003144769156,0.208269132507082,0.23415205932628344
signed_nfw_residual_of_residual,4,4,0.06629413592740212,0.07790383399858712,0.18777319389574904,0.2150951659281456
signed_nfw_residual_of_residual,5,4,0.060517385098337144,0.07092362804522434,0.1711181111636662,0.1956839497593097
signed_nfw_residual_of_residual,6,4,0.05811516239371897,0.06371279436262892,0.16395562979487238,0.19029101335901827
